emotion,text
surprise,This is the biggest surprise of my life!
disgust,That behavior is so gross!
fear,I am terrified of the dark.
surprise,What a shocking turn of events!
fear,I feel paralyzed with fear!
surprise,You won't believe what just happened!
surprise,I just got a surprise gift!
disgust,I'm completely disgusted by what I just heard.
surprise,I was not prepared for this at all!
fear,I'm scared of failing and letting everyone down.
angry,I'm so frustrated with how unfair this situation is.
fear,I feel paralyzed with fear!
fear,I am terrified of the dark.
fear,I feel paralyzed with fear!
happy,I feel so grateful for everything.
happy,I just got my dream job!
happy,This is the best day of my life!
sad,I miss my best friend so much.
angry,Why does this keep happening to me?
disgust,That behavior is so gross!
happy,I can't stop smiling!
sad,"Even when I'm with people, I feel so alone."
fear,"I heard a strange noise, and now I can't sleep."
disgust,I'm completely disgusted by what I just heard.
neutral,Nothing special happened today.
neutral,I don't really care either way.
disgust,The taste of this food makes me want to vomit.
fear,I'm scared of failing and letting everyone down.
surprise,I just got a surprise gift!
angry,This is completely ridiculous!
neutral,It's just another ordinary day.
disgust,This place is so filthy!
angry,I hate when people lie to me!
surprise,What a shocking turn of events!
fear,"I heard a strange noise, and now I can't sleep."
surprise,"Oh my gosh, I wasn't expecting this at all!"
disgust,The taste of this food makes me want to vomit.
fear,I feel paralyzed with fear!
surprise,This is the biggest surprise of my life!
sad,I just want to be alone and cry.
surprise,I was not prepared for this at all!
neutral,I'm feeling neither happy nor sad.
fear,This place gives me the creeps.
sad,I feel so lonely and lost.
neutral,Everything feels just... okay.
surprise,"Oh my gosh, I wasn't expecting this at all!"
surprise,What a shocking turn of events!
fear,Every little noise makes my heart race.
neutral,I don't have any strong feelings about this.
happy,Life is just wonderful right now!
happy,I feel so grateful for everything.
surprise,I was not prepared for this at all!
neutral,I'm feeling neither happy nor sad.
neutral,I don't really care either way.
happy,I am feeling so happy today!
surprise,You won't believe what just happened!
surprise,"Wow, I never saw that coming!"
sad,Nothing seems to be going right today.
disgust,Just thinking about it makes me nauseous.
sad,Nothing seems to be going right today.
disgust,I'm completely disgusted by what I just heard.
happy,I just got my dream job!
sad,I feel like I'm stuck in a dark place.
neutral,This is just a normal situation for me.
fear,I feel like I'm constantly walking on eggshells.
fear,Every little noise makes my heart race.
surprise,This is the biggest surprise of my life!
surprise,This is the biggest surprise of my life!
surprise,This is the biggest surprise of my life!
sad,I feel so lonely and lost.
fear,What if something bad happens to me?
fear,Every little noise makes my heart race.
angry,I'm so frustrated with how unfair this situation is.
neutral,This is just another typical experience.
surprise,You won't believe what just happened!
surprise,This is the biggest surprise of my life!
disgust,I hate how messy this place is!
happy,Dancing to my favorite song makes me feel alive!
happy,Spending time with my friends makes me happy.
disgust,I feel sick just looking at it.
happy,I feel so grateful for everything.
disgust,I hate how messy this place is!
surprise,I had no idea this would happen!
angry,I hate when people lie to me!
surprise,I had no idea this would happen!
surprise,That was completely unexpected!
